"Package","Version"
"forecast","9.0.2"
"forecastHybrid","5.1.21"
"foreign","0.8-91"
"Formula","1.2-5"
"fpc","2.2-14"
"fracdiff","1.5-4"
"fractional","0.1.3"
"fresh","0.2.2"
"FrF2","2.3-5"
"fs","2.1.0"
"furrr","0.4.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.75.0"
"future.apply","1.20.2"
"gam","1.22-7"
"gamlss","5.5-0"
"gamlss.data","6.0-7"
"gap.datasets","0.0.6"
"gargle","1.6.1"
"GauPro","0.2.17"
"gbutils","0.5.1"
"gclus","1.3.3"
"gdata","3.0.1"
"gdtools","0.5.1"
"gemtc","1.1-1"
"generics","0.1.4"
"geojsonsf","2.0.5"
"geometries","0.2.5"
"geometry","0.5.2"
"gert","2.4.0"
"GFD","0.3.3"
"GGally","2.4.0"
"ggbeeswarm","0.7.3"
"ggcorrplot","0.3.0"
"ggdist","3.3.3"
"gge","1.10"
"ggeffects","2.3.2"
"ggfittext","0.10.4"
"ggforce","0.5.0"
"ggiraph","0.9.6"
"ggiraphExtra","0.3.0"
"ggparty","1.0.0.1"
"ggplot2","4.0.3"
"ggpmisc","1.0.0"
"ggpp","0.6.1"
"ggpubr","1.0.0"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","5.1.0"
"ggside","0.4.1"
"ggsignif","0.6.4"
"ggstance","0.3.7"
"ggstats","0.13.0"
"ggstatsplot","1.0.0"
"ggtext","0.1.2"
"ggtime","0.2.0"
"gh","1.6.1"
"git2r","0.36.2"
"gitcreds","0.1.2"
"glasso","1.11"
"gld","2.6.8"
"GLMMadaptive","0.9-7"
"glmmTMB","1.1.14"
"glmnet","5.0"
"GlobalOptions","0.1.4"
"globals","0.19.1"
"glue","1.8.1"
"gmm","1.9-1"
"gmodels","2.19.1"
"gmp","0.7-5.1"
"goftest","1.2-3"
"golem","1.0.1"
"googledrive","2.1.2"
"googlePolylines","0.8.7"
"googlesheets4","1.1.2"
"gower","1.0.2"
"GPArotation","2026.6-1"
"GPfit","1.0-9"
"gplots","3.3.0"
"grf","2.6.1"
"gridBase","0.4-7"
"gridExtra","2.3.1"
"gridGraphics","0.5-1"
"gridtext","0.1.6"
"groupdata2","2.0.5"
"gss","2.2-10"
"gsubfn","0.7"
"gt","1.3.0"
"gtable","0.3.6"
"gtools","3.9.5"
"gtsummary","2.5.1"
"HaploSim","1.8.4.2"
"hardhat","1.4.3"
"haven","2.5.5"
"HDInterval","0.2.4"
"hdm","0.3.2"
"hdrcde","3.5.0"
"heplots","1.8.1"
"here","1.0.2"
"highr","0.12"
"hipread","0.2.6"
"Hmisc","5.2-6"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"hts","6.0.3"
"httpcode","0.3.0"
"httpuv","1.6.17"
"httr","1.4.8"
"httr2","1.3.0"
"hypergeo","1.2-14"
"hypr","0.2.8"
"iBreakDown","2.1.2"
"ICC","2.4.0"
"ids","1.0.1"
"igraph","2.3.3"
"ineq","0.2-13"
"infer","1.1.0"
"ingredients","2.3.0"
"ini","0.3.1"
"inline","0.3.21"
"insight","1.5.2"
"installr","0.23.4"
"interleave","0.1.2"
"interval","1.1-1.0"
"intervals","0.15.5"
"inum","1.0-5"
"ipred","0.9-15"
"irlba","2.3.7"
"isoband","0.3.0"
"ISOcodes","2026.03.28"
"iterators","1.0.14"
"janitor","2.2.1"
"jmvcore","2.7.38"
"jomo","2.7-6"
"jose","2.0.0"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonify","1.2.3"
"jsonlite","2.0.0"
"juicyjuice","0.1.0"
"kableExtra","1.4.1"
"kernelshap","0.9.1"
"kernlab","0.9-33"
"km.ci","0.5-6"
"knitr","1.51"
"ks","1.15.2"
"kSamples","1.2-12"
"kutils","1.73"
"labeling","0.4.3"
"labelled","2.16.0"
"lambda.r","1.2.4"
"languageR","1.6"
"LARF","1.4"
"later","1.4.8"
"lattice","0.22-9"
"lava","1.9.2"
"lavaan","0.7-2"
"lavaanPlot","0.8.1"
"lazyeval","0.2.3"
"lbfgs","1.2.1.2"
"lda","1.5.2"
"leafem","0.2.5"
"leafgl","0.2.4"
"leaflegend","1.2.8"
"leaflet","2.2.3"
"leaflet.providers","3.0.0"
"leaps","3.2"
"lgr","0.5.2"
"lhs","1.3.0"
"libcoin","1.0-13"
"lifecycle","1.0.5"
"linprog","0.9-6"
"lisrelToR","0.3"
"listenv","1.0.0"
"litedown","0.10"
"lme4","2.0-6"
"lmerTest","3.2-1"
"lmodel2","1.7-4"
"lmom","3.3"
"lmtest","0.9-40"
"locatexec","0.2.0"
"locfit","1.5-9.12"
"logger","0.4.2"
"longmemo","1.1-4"
"loo","2.10.1"
"lsoda","1.2"
"lubridate","1.9.5"
"lucid","1.11"
"maditr","0.8.7"
"magic","1.6-1"
"magick","2.9.1"
"magrittr","2.0.5"
"maps","3.4.3"
"maptiles","0.12.0"
"maptree","1.4-9"
"marginaleffects","0.32.0"
"markdown","2.0"
"MASS","7.3-66"
"Matching","4.10-15"
"MatchIt","4.7.2"
"mathjaxr","2.0-0"
"Matrix","1.7-6"
"MatrixExtra","0.1.15"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"maxLik","1.5-2.2"
"maxstat","0.7-26"
"MBA","0.1-3"
"MBESS","5.0.1"
"mclust","6.1.3"
"mcmc","0.9-8"
"MCMCglmm","2.36"
"MCMCpack","1.7-1"
"MCMCvis","0.16.5"
"measures","0.3"
"mediation","4.5.1"
"memisc","0.99.31.8.3"
"memoise","2.0.1"
"memuse","4.2-3"
"meta","8.5-0"
"metabook","0.2-0"
"metadat","1.6-0"
"metafor","5.0-1"
"metaSEM","1.5.0"
"metasens","1.5-3"
"metR","0.18.3"
"mets","1.3.11"
"mgcv","1.9-4"
"mi","1.2"
"mime","0.13"
"miniUI","0.1.2"
"minpack.lm","1.2-4"
"minqa","1.2.8"
"mirai","2.7.2"
"miscTools","0.6-30"
"mitools","2.4"
"mixopt","0.1.3"
"mixtools","2.0.0.1"
"mlapi","0.1.1"
"mlbench","2.1-10"
"MLEcens","0.1-7.1"
"mlr3","1.7.1"
"mlr3cluster","0.4.1"
"mlr3data","0.9.0"
"mlr3filters","0.9.1"
"mlr3fselect","1.6.0"
"mlr3hyperband","1.1.1"
"mlr3inferr","0.2.1"
"mlr3learners","0.15.1"
"mlr3mbo","1.2.0"
"mlr3measures","1.3.0"
"mlr3misc","0.22.0"
"mlr3pipelines","0.11.0"
"mlr3tuning","1.6.1"
"mlr3tuningspaces","0.7.0"
"mlr3viz","0.11.1"
"mnormt","2.1.2"
"modelbased","0.16.0"
"modeldata","1.5.1"
"modelenv","0.2.0"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modelsummary","2.6.0"
"modeltime","1.3.5"
"modeltools","0.2-24"
"moocore","0.3.2"
"msm","1.8.2"
"mstate","0.3.3"
"muhaz","1.2.6.4"
"multcomp","1.4-31"
"multcompView","0.1-11"
"multicool","1.0.1"
"multitaper","1.0-17"
"MuMIn","1.48.19"
"mvnfast","0.2.8"
"mvtnorm","1.4-2"
"mycor","0.1.1"
"naniar","1.1.0"
"nanonext","1.10.1"
"nanoparquet","0.5.1"
"ncdf4","1.24"
"netmeta","3.6-1"
"nipals","1.0"
"nleqslv","3.3.7"
"nlme","3.1-170"
"nloptr","2.2.1"
"nnls","1.6"
"nonnest2","0.5-9"
"norm","1.0-11.1"
"nortest","1.0-4"
"np","0.70-5"
"nullabor","0.3.15"
"numbers","0.9-2"
"numDeriv","2016.8-1.1"
"oaxaca","0.1.5"
"officer","0.7.6"
"OpenMx","2.22.11"
"openssl","2.4.2"
"openxlsx","4.2.8.1"
"operator.tools","1.6.3.1"
"optimx","2025-4.9"
"origami","1.0.8"
"osfr","0.2.9"
"otel","0.2.0"
"overlapping","2.4"
"packrat","0.9.3"
"padr","0.7.0"
"PairedData","1.1.1"
"pak","0.11.1"
"paletteer","1.7.0"
"palmerpenguins","0.1.1"
"pander","0.6.6"
"paradox","1.0.1"
"parallelly","1.48.0"
"parameters","0.29.2"
"paran","1.5.6"
"parsedate","1.3.2"
"parsnip","1.6.0"
"partitions","1.10-9"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbivnorm","0.6.0"
"pbkrtest","0.5.5"
"pbs","1.1"
"pbv","0.5-47"
"pdftools","3.9.0"
"pec","2025.06.24"
"performance","0.17.1"
"PerformanceAnalytics","2.1.0"
"perm","1.0-0.4"
"permute","0.9-10"
"phangorn","2.12.1"
"philentropy","0.10.0"
"phylobase","0.8.12"
"pillar","1.11.1"
"pingr","2.0.5"
"pixmap","0.4-14"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.2.1"
"pkgload","1.5.3"
"PKI","0.1-15"
"plotfunctions","1.5"
"plotly","4.12.1"
