Player,Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes,Opp_clean,Squad_clean,Venue_match,Result,Minutes,Gls,Opponent_Elo,Elo_Source,Competition_Stage,Is_Away,Difficulty_Score,xg,xg_source,goal_id,Weighted_Goal
Lionel Messi,557,2013-09-14,La Liga,Matchweek 4,Home,Barcelona,Sevilla,Y,74,1-0,Beto,,,Sevilla,Barcelona,Home,W 3–2,90,1,1730.54528809,club,Group,FALSE,0.8303079544748083,NA,missing,Lionel_Messi-1182,0.8303079544748083
Lionel Messi,556,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,22,0-0,Kenneth Vermeer,,,Ajax,Barcelona,Home,W 4–0,90,3,1702.51806641,club,Group,FALSE,0.8187424493402342,NA,missing,Lionel_Messi-1183,0.8187424493402342
Lionel Messi,555,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,55,1-0,Kenneth Vermeer,,,Ajax,Barcelona,Home,W 4–0,90,3,1702.51806641,club,Group,FALSE,0.8187424493402342,NA,missing,Lionel_Messi-1184,0.8187424493402342
Lionel Messi,554,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,75,3-0,Kenneth Vermeer,,,Ajax,Barcelona,Home,W 4–0,90,3,1702.51806641,club,Group,FALSE,0.8187424493402342,NA,missing,Lionel_Messi-1185,0.8187424493402342
Lionel Messi,553,2013-09-24,La Liga,Matchweek 6,Home,Barcelona,Real Sociedad,Y,7,1-0,Claudio Bravo,,,Real Sociedad,Barcelona,Home,W 4–1,78,1,1790.01611328,club,Group,FALSE,0.8548487434957599,NA,missing,Lionel_Messi-1186,0.8548487434957599
Lionel Messi,552,2013-09-28,La Liga,Matchweek 7,Away,Barcelona,Almería,Y,20,0-0,Esteban,,,Almería,Barcelona,Away,W 2–0,28,1,1641.73937988,club,Group,TRUE,-1.14851776593347,NA,missing,Lionel_Messi-1187,-1.14851776593347
Lionel Messi,551,2013-10-22,Champions Lg,Group stage,Away,Barcelona,Milan,Y,23,0-1,Marco Amelia,,,Milan,Barcelona,Away,D 1–1,90,1,1769.58544922,club,Group,TRUE,-1.0957617564984696,NA,missing,Lionel_Messi-1188,-1.0957617564984696
Lionel Messi,550,2013-11-06,Champions Lg,Group stage,Home,Barcelona,Milan,Y,30,0-0,Christian Abbiati,,Penalty kick,Milan,Barcelona,Home,W 3–1,90,2,1750.45739746,club,Group,FALSE,0.8385247376361331,NA,missing,Lionel_Messi-1189,0.8385247376361331
Lionel Messi,549,2013-11-06,Champions Lg,Group stage,Home,Barcelona,Milan,Y,83,2-1,Christian Abbiati,,,Milan,Barcelona,Home,W 3–1,90,2,1750.45739746,club,Group,FALSE,0.8385247376361331,NA,missing,Lionel_Messi-1190,0.8385247376361331
Lionel Messi,548,2014-02-01,La Liga,Matchweek 22,Home,Barcelona,Valencia,Y,53,1-2,Diego Alves,,Penalty kick,Valencia,Barcelona,Home,L 2–3,90,1,1754.65026855,club,Group,FALSE,0.8402549366788233,NA,missing,Lionel_Messi-1191,0.8402549366788233
